ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,SliderResponse,PosteriorBlue
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4860,blue,6,1,js-scroll-button-response-revised,33,1,1,55           70           55           65           60           55,blueredredblueredblue,1  0  0  1  0  1,50,39.3397524071527
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,17652.3999999762,blue,6,1,js-scroll-button-response-revised,35,1,1,65           55           60           50           60           55,redblueredblueredblue,0  1  0  1  0  1,50,26.3350174893121
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4444.5,blue,6,1,js-scroll-button-response-revised,37,1,1,50  65  65  60  50  75,blueredblueblueblueblue,1  0  1  1  1  1,60,81.8181818181818
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4476.70000004768,blue,6,1,js-scroll-button-response-revised,39,1,1,75  65  75  75  75  50,blueredredblueblueblue,1  0  0  1  1  1,60,82.8947368421053
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,12244.7999999523,blue,6,1,js-scroll-button-response-revised,41,1,1,55           65           65           70           70           65,redredblueredblueblue,0  0  1  0  1  1,50,60.3092783505155
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4396.40000009537,blue,6,1,js-scroll-button-response-revised,43,1,1,70           55           65           60           50           60,blueblueblueblueblueblue,1  1  1  1  1  1,93,92.258064516129
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4356.39999997616,red,6,0,js-scroll-button-response-revised,45,1,1,50  60  50  65  65  60,blueredredblueblueblue,1  0  0  1  1  1,63,77.5229357798165
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,7859.79999995232,red,6,0,js-scroll-button-response-revised,47,1,1,70           60           55           55           50           65,redblueblueblueblueblue,0  1  1  1  1  1,48,64.0733197556008
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,13540.3000000715,red,6,0,js-scroll-button-response-revised,49,1,1,60  60  70  60  65  75,redredblueredredblue,0  0  1  0  0  1,60,52.7590847913863
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,5500.80000007153,blue,6,1,js-scroll-button-response-revised,51,1,1,55           55           75           70           50           60,blueblueblueblueredblue,1  1  1  1  0  1,71,94.0066592674806
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,22404.6000000238,blue,6,1,js-scroll-button-response-revised,53,1,1,70           70           65           55           65           50,redblueblueblueredred,0  1  1  1  0  0,50,55
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,24396,blue,6,1,js-scroll-button-response-revised,55,1,1,75  65  65  70  60  70,blueredbluebluebluered,1  0  1  1  1  0,58,81.8181818181818
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,5012.79999995232,red,6,0,js-scroll-button-response-revised,57,1,1,70           70           65           55           70           55,blueblueredredredred,1  1  0  0  0  0,54,45.6837016574586
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4299.40000009537,blue,6,1,js-scroll-button-response-revised,59,1,1,70  60  70  50  75  60,redblueblueblueredblue,0  1  1  1  0  1,64,42.8571428571429
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4380.70000004768,red,6,0,js-scroll-button-response-revised,61,1,1,50           75           65           65           75           55,redredredblueredred,0  0  0  1  0  0,19,8.33333333333334
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,46955.7000000477,blue,6,1,js-scroll-button-response-revised,63,1,1,65  65  75  70  60  50,redredblueblueredblue,0  0  1  1  0  1,50,57.5020955574183
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,3509.10000002384,blue,6,1,js-scroll-button-response-revised,65,1,1,65           75           65           55           70           75,blueblueblueblueredred,1  1  1  1  0  0,61,64.3698060941828
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4021.20000004768,blue,6,1,js-scroll-button-response-revised,67,1,1,55           55           50           75           70           75,blueredredblueblueblue,1  0  0  1  1  1,61,95.4545454545455
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,3684.69999992847,red,6,0,js-scroll-button-response-revised,69,1,1,70           75           55           55           70           70,redredredredredred,0  0  0  0  0  0,30,1.72617920060618
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,3341.79999995232,blue,6,1,js-scroll-button-response-revised,71,1,1,60           55           50           65           50           75,blueredblueredblueblue,1  0  1  0  1  1,63,66.4712778429074
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4228.29999995232,blue,6,1,js-scroll-button-response-revised,73,1,1,50  70  75  65  70  70,blueredblueredblueblue,1  0  1  0  1  1,57,79.0322580645161
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,41412,red,6,0,js-scroll-button-response-revised,75,1,1,65           50           55           55           75           75,redblueblueredredred,0  1  1  0  0  0,30,5.64516129032258
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,24636.4000000954,red,6,0,js-scroll-button-response-revised,77,1,1,55           65           70           65           50           75,redblueredredredred,0  1  0  0  0  0,24,10.4651162790698
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,69996.7999999523,red,6,0,js-scroll-button-response-revised,79,1,1,65           55           70           60           60           75,blueredredredredred,1  0  0  0  0  0,24,8.79864636209814
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,20962.9000000954,red,6,0,js-scroll-button-response-revised,81,1,1,75  60  75  60  50  65,redredredblueredblue,0  0  0  1  0  1,50,17.1052631578947
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4050.39999997616,blue,6,1,js-scroll-button-response-revised,84,2,1,75  75  75  50  60  60,blueredredredredblue,1  0  0  0  0  1,50,25
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,7548.39999997616,red,6,0,js-scroll-button-response-revised,86,2,1,75           55           65           50           75           60,blueblueredredredred,1  1  0  0  0  0,40,30.4950495049505
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,7372.69999992847,red,6,0,js-scroll-button-response-revised,88,2,1,75  65  65  70  50  65,blueblueblueredblueblue,1  1  1  0  1  1,85,89.1720032470461
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4187.70000004768,blue,6,1,js-scroll-button-response-revised,90,2,1,75           65           50           50           55           60,redredblueblueredred,0  0  1  1  0  0,45,8.9171974522293
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,5836.70000004768,red,6,0,js-scroll-button-response-revised,92,2,1,70           50           55           70           65           50,redredredredblueblue,0  0  0  0  1  1,40,21.8193120596768
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4108.20000004768,red,6,0,js-scroll-button-response-revised,94,2,1,65           55           65           75           75           50,redblueredredredblue,0  1  0  0  0  1,44,3.78830475119483
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,6252.80000007153,red,6,0,js-scroll-button-response-revised,96,2,1,50  60  65  75  75  70,blueredredredredred,1  0  0  0  0  0,20,1.68067226890756
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,6076.39999997616,red,6,0,js-scroll-button-response-revised,98,2,1,65  65  65  65  65  65,redredblueredbluered,0  0  1  0  1  0,50,22.4770642201835
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,10356.7000000477,blue,6,1,js-scroll-button-response-revised,100,2,1,75           55           65           50           50           55,blueblueblueblueblueblue,1  1  1  1  1  1,71,89.2735527809308
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4749.70000004768,blue,6,1,js-scroll-button-response-revised,102,2,1,60  65  75  75  50  50,blueblueblueblueredred,1  1  1  1  0  0,57,96.1643835616438
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,9523.20000004768,red,6,0,js-scroll-button-response-revised,104,2,1,75  70  65  75  75  60,redredblueredredblue,0  0  1  0  0  1,24,4.23452768729642
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,6947.89999997616,blue,6,1,js-scroll-button-response-revised,106,2,1,75  65  65  60  60  75,redredblueblueredblue,0  0  1  1  0  1,64,50
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4620.30000007153,blue,6,1,js-scroll-button-response-revised,108,2,1,70  60  75  50  60  75,redredblueblueredred,0  0  1  1  0  0,34,16
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,4100.59999990463,blue,6,1,js-scroll-button-response-revised,110,2,1,75           55           65           55           55           75,blueredblueblueredblue,1  0  1  1  0  1,53,93.1858407079646
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,77643.2000000477,blue,6,1,js-scroll-button-response-revised,112,2,1,60           50           55           70           75           75,blueredblueblueblueblue,1  0  1  1  1  1,75,97.4683544303797
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,9245.5,red,6,0,js-scroll-button-response-revised,114,2,1,70           70           50           55           50           60,redblueredredbluered,0  1  0  0  1  0,40,35.2941176470588
14785292,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.60, ""Source4"": 0.65, ""Source5"": 0.70, ""Source6"": 0.75}",40,7,6,6,12236,red,6,0,js-scroll-button-response-revised,116,2,1,75           65           75           55           75           65,blueblueredredredred,1  1  0  0  0  0,14,21.4285714285714
