ParticipantPrivateID,randomiser_475f,ResponseButtonOrder,Sources,Trials_perBlock_,Blocks,MinimumSamples,MaximumSamples,RT,Stimulus,NoOfStimuli,CorrectResponse,TrialType,TrialIndex,Block,TrialNumber,Sample_Reliability,Sample_Color,Sample_NumColor,SliderResponse,PosteriorBlue
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,20589.1999999993,red,6,0,js-scroll-button-response-revised,3,1,1,65           55           55           65           50           55,redredredbluebluered,0  0  0  1  1  0,41,35.3883495145631
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,12504.6999999993,blue,6,1,js-scroll-button-response-revised,5,1,1,65           50           55           65           55           55,blueblueblueblueblueblue,1  1  1  1  1  1,70,86.2959410726617
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,10788.3000000007,red,6,0,js-scroll-button-response-revised,7,1,1,55           55           55           55           55           50,redredredblueblueblue,0  0  0  1  1  1,50,45
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,14773,blue,6,1,js-scroll-button-response-revised,9,1,1,50           55           55           65           65           65,blueblueredredblueblue,1  1  0  0  1  1,60,65
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,12019.1999999993,red,6,0,js-scroll-button-response-revised,11,1,1,55           50           65           55           65           55,redredblueredredred,0  0  1  0  0  0,10,35.3883495145631
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,11268.5,blue,6,1,js-scroll-button-response-revised,13,1,1,50           50           55           65           65           55,blueblueredblueblueblue,1  1  0  1  1  1,60,77.5229357798165
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,16867.5,blue,6,1,js-scroll-button-response-revised,15,1,1,65           50           65           55           55           55,redblueredblueredblue,0  1  0  1  0  1,60,26.1650485436893
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,12127.4000000022,blue,6,1,js-scroll-button-response-revised,17,1,1,50           65           55           50           50           50,blueredredblueredblue,1  0  0  1  0  1,41,30.5825242718447
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,11998.8999999985,red,6,0,js-scroll-button-response-revised,19,1,1,50           55           65           65           55           55,redredredblueblueblue,0  0  0  1  1  1,50,55
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,16333.1999999993,blue,6,1,js-scroll-button-response-revised,21,1,1,65           65           65           65           55           50,blueredblueblueblueblue,1  0  1  1  1  1,56,80.8260869565217
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,10446.8000000007,blue,6,1,js-scroll-button-response-revised,23,1,1,55           65           55           65           50           50,blueredredblueblueblue,1  0  0  1  1  1,65,50
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,11614.4000000022,red,6,0,js-scroll-button-response-revised,25,1,1,65           65           65           55           65           55,redredblueredbluered,0  0  1  0  1  0,33,40.0990099009901
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,16135.1000000015,red,6,0,js-scroll-button-response-revised,27,1,1,65  50  65  65  50  50,blueredredredredred,1  0  0  0  0  0,10,35
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,34447.4000000022,red,6,0,js-scroll-button-response-revised,29,1,1,50           50           50           50           65           55,redblueredredblueblue,0  1  0  0  1  1,81,69.4174757281553
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,22705,red,6,0,js-scroll-button-response-revised,31,1,1,50           55           55           65           55           55,redredblueredredred,0  0  1  0  0  0,15,26.4953271028037
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,10150.700000003,blue,6,1,js-scroll-button-response-revised,33,1,1,55           65           50           55           50           55,blueredredblueredred,1  0  0  1  0  0,19,39.6907216494845
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,7479.69999999925,blue,6,1,js-scroll-button-response-revised,35,1,1,65           50           50           65           55           65,blueredbluebluebluered,1  0  1  1  1  0,81,69.4174757281553
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,10871,red,6,0,js-scroll-button-response-revised,37,1,1,50           55           50           55           50           55,redredredredredred,0  0  0  0  0  0,2,35.3883495145631
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,7335.69999999925,red,6,0,js-scroll-button-response-revised,39,1,1,65           65           55           55           50           50,redredredbluebluered,0  0  0  1  1  0,18,22.4770642201835
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,10990.299999997,blue,6,1,js-scroll-button-response-revised,41,1,1,50           65           50           55           50           55,blueblueredblueredred,1  1  0  1  0  0,48,65
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,6535.30000000075,red,6,0,js-scroll-button-response-revised,43,1,1,50           50           65           65           55           55,blueredredblueredred,1  0  0  1  0  0,31,40.0990099009901
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,21874.1000000015,red,6,0,js-scroll-button-response-revised,45,1,1,55           55           55           55           50           55,redblueblueredbluered,0  1  1  0  1  0,58,45
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,8505.10000000149,blue,6,1,js-scroll-button-response-revised,47,1,1,50           55           55           65           50           55,redbluebluebluebluered,0  1  1  1  1  0,70,69.4174757281554
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,8869.69999999925,blue,6,1,js-scroll-button-response-revised,49,1,1,65           65           55           50           55           65,blueblueredredbluered,1  1  0  0  1  0,52,65
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,7134.5,blue,6,1,js-scroll-button-response-revised,51,1,1,50           55           55           55           55           55,redredredredblueblue,0  0  0  0  1  1,30,45
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,9930.80000000075,red,6,0,js-scroll-button-response-revised,53,1,1,55           55           50           55           65           55,blueredblueblueblueblue,1  0  1  1  1  1,80,73.5046728971963
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,14366.1999999993,red,6,0,js-scroll-button-response-revised,55,1,1,55           55           55           55           50           65,blueredredbluebluered,1  0  0  1  1  0,55,35
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,11535.8000000007,red,6,0,js-scroll-button-response-revised,57,1,1,55           55           50           65           55           65,redblueblueredbluered,0  1  1  0  1  0,80,26.1650485436893
14575480,Button0Red,1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,16937.8000000007,blue,6,1,js-scroll-button-response-revised,59,1,1,50           55           50           65           55           50,blueredredblueredred,1  0  0  1  0  0,65,55.4210526315789
