"","ParticipantPrivateID","randomiser_475f","ResponseButtonOrder","Sources","Trials_perBlock_","Blocks","MinimumSamples","MaximumSamples","RT","Stimulus","NoOfStimuli","CorrectResponse","TrialType","TrialIndex","Block","TrialNumber","proba_1","proba_2","proba_3","proba_4","proba_5","proba_6","Sample_Color","Sample_NumColor","SliderResponse","PosteriorBlue","color_1","color_2","color_3","color_4","color_5","color_6"
"1",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,20589.1999999993,"red",6,0,"js-scroll-button-response-revised",3,1,1,65,55,55,65,50,55,"redredredbluebluered","0  0  0  1  1  0",41,35.3883495145631,"red","red","red","blue","blue","red"
"2",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,12504.6999999993,"blue",6,1,"js-scroll-button-response-revised",5,1,1,65,50,55,65,55,55,"blueblueblueblueblueblue","1  1  1  1  1  1",70,86.2959410726617,"blue","blue","blue","blue","blue","blue"
"3",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,10788.3000000007,"red",6,0,"js-scroll-button-response-revised",7,1,1,55,55,55,55,55,50,"redredredblueblueblue","0  0  0  1  1  1",50,45,"red","red","red","blue","blue","blue"
"4",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,14773,"blue",6,1,"js-scroll-button-response-revised",9,1,1,50,55,55,65,65,65,"blueblueredredblueblue","1  1  0  0  1  1",60,65,"blue","blue","red","red","blue","blue"
"5",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,12019.1999999993,"red",6,0,"js-scroll-button-response-revised",11,1,1,55,50,65,55,65,55,"redredblueredredred","0  0  1  0  0  0",10,35.3883495145631,"red","red","blue","red","red","red"
"6",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,11268.5,"blue",6,1,"js-scroll-button-response-revised",13,1,1,50,50,55,65,65,55,"blueblueredblueblueblue","1  1  0  1  1  1",60,77.5229357798165,"blue","blue","red","blue","blue","blue"
"7",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,16867.5,"blue",6,1,"js-scroll-button-response-revised",15,1,1,65,50,65,55,55,55,"redblueredblueredblue","0  1  0  1  0  1",60,26.1650485436893,"red","blue","red","blue","red","blue"
"8",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,12127.4000000022,"blue",6,1,"js-scroll-button-response-revised",17,1,1,50,65,55,50,50,50,"blueredredblueredblue","1  0  0  1  0  1",41,30.5825242718447,"blue","red","red","blue","red","blue"
"9",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,11998.8999999985,"red",6,0,"js-scroll-button-response-revised",19,1,1,50,55,65,65,55,55,"redredredblueblueblue","0  0  0  1  1  1",50,55,"red","red","red","blue","blue","blue"
"10",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,16333.1999999993,"blue",6,1,"js-scroll-button-response-revised",21,1,1,65,65,65,65,55,50,"blueredblueblueblueblue","1  0  1  1  1  1",56,80.8260869565217,"blue","red","blue","blue","blue","blue"
"11",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,10446.8000000007,"blue",6,1,"js-scroll-button-response-revised",23,1,1,55,65,55,65,50,50,"blueredredblueblueblue","1  0  0  1  1  1",65,50,"blue","red","red","blue","blue","blue"
"12",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,11614.4000000022,"red",6,0,"js-scroll-button-response-revised",25,1,1,65,65,65,55,65,55,"redredblueredbluered","0  0  1  0  1  0",33,40.0990099009901,"red","red","blue","red","blue","red"
"13",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,16135.1000000015,"red",6,0,"js-scroll-button-response-revised",27,1,1,65,50,65,65,50,50,"blueredredredredred","1  0  0  0  0  0",10,35,"blue","red","red","red","red","red"
"14",14575480,"Button0Red",1,"{""Source1"": 0.50, ""Source2"": 0.55, ""Source3"": 0.65}",40,7,6,6,34447.4000000022,"red",6,0,"js-scroll-button-response-revised",29,1,1,50,50,50,50,65,55,"redblueredredblueblue","0  1  0  0  1  1",81,69.4174757281553,"red","blue","red","red","blue","blue"
